index,mean_intensity,edge_density,texture_variance,glcm_contrast_d1,glcm_homogeneity_d1,glcm_energy_d1,glcm_correlation_d1,glcm_contrast_d2,glcm_homogeneity_d2,glcm_energy_d2,glcm_correlation_d2,glcm_contrast_d4,glcm_homogeneity_d4,glcm_energy_d4,glcm_correlation_d4,glcm_contrast_d8,glcm_homogeneity_d8,glcm_energy_d8,glcm_correlation_d8,phase_fraction,fft_energy_ratio,run_length_mean,E_x
9191,0.486664,0.023163,16244.6851,72.290763,0.981791,0.694595,0.963547,144.296198,0.963653,0.682128,0.92724,286.083984,0.927939,0.658348,0.855752,555.639995,0.86004,0.616311,0.719878,0.486664,0.975602,45.3536,2610.8632
9192,0.367386,0.014694,15112.6873,42.559743,0.98928,0.723744,0.976969,85.454601,0.978475,0.715953,0.953831,171.773438,0.956732,0.70053,0.907495,347.337513,0.912509,0.670308,0.814132,0.367386,0.979993,68.5523,3047.5434
9193,0.166565,0.015564,9026.8395,29.001425,0.992695,0.846144,0.973601,57.926012,0.985409,0.842429,0.947108,113.695312,0.971361,0.835456,0.895525,210.365502,0.947011,0.824461,0.803747,0.166565,0.951773,89.4079,1275.3907
9194,0.032486,0.009537,2043.7763,18.11829,0.995436,0.965586,0.927655,35.768855,0.99099,0.963187,0.857718,69.890625,0.982395,0.95858,0.724103,129.907731,0.967278,0.950538,0.495044,0.032486,0.827975,118.296,1037.3265
9195,0.135056,0.010315,7595.9307,28.454228,0.992833,0.870907,0.969416,57.132505,0.985609,0.86639,0.938793,115.171875,0.970989,0.857364,0.877433,233.308783,0.941232,0.839476,0.755024,0.135056,0.961212,90.5193,1254.8085
9196,0.178757,0.019821,9545.8489,38.911765,0.990199,0.835814,0.966391,77.214336,0.980551,0.831306,0.932882,151.962891,0.961722,0.822817,0.866198,288.947801,0.927217,0.808375,0.739091,0.178757,0.943028,73.1429,1330.096
9197,0.036865,0.019226,2308.7899,37.270175,0.990612,0.959107,0.867391,72.941606,0.981627,0.954639,0.73978,136.582031,0.965596,0.946874,0.509803,220.493054,0.94446,0.937068,0.199919,0.036865,0.657321,75.4154,1046.3489
9198,0.078506,0.020874,4704.1168,79.039522,0.980091,0.913935,0.862855,154.062438,0.961193,0.90386,0.733637,282.331055,0.928884,0.887467,0.513873,469.05568,0.88185,0.865171,0.197503,0.078506,0.851495,42.1183,1297.9032
9199,0.291367,0.013535,13425.848,30.521415,0.992312,0.760993,0.981392,60.855884,0.984671,0.755867,0.962926,119.663086,0.969858,0.74606,0.927202,228.557586,0.942429,0.728643,0.861176,0.291367,0.976698,86.4591,1501.5222
9200,0.095428,0.017288,5613.0799,45.295726,0.98859,0.903918,0.933514,87.34681,0.977998,0.898801,0.871026,154.423828,0.961102,0.891135,0.769074,223.368778,0.943736,0.885309,0.654982,0.095428,0.890774,65.4705,1158.4846
9201,0.498825,0.028015,16256.1602,79.769118,0.979907,0.693042,0.959804,159.433871,0.95984,0.679297,0.91966,317.214844,0.920097,0.653044,0.840153,626.407825,0.842215,0.605891,0.684337,0.498825,0.972923,41.7959,2603.7606
9202,0.350464,0.016327,14802.2224,28.08943,0.992925,0.733048,0.984467,56.277959,0.985824,0.72806,0.968902,113.080078,0.971516,0.718117,0.937606,227.994944,0.942571,0.698468,0.874576,0.350464,0.977238,91.2758,1628.4338
9203,0.046097,0.009308,2859.2719,23.651057,0.994043,0.951993,0.932119,47.366265,0.988069,0.94899,0.863806,93.146484,0.976537,0.943267,0.731267,174.79404,0.955971,0.933291,0.493026,0.046097,0.904744,101.6062,1071.4242
9204,0.132401,0.011032,7469.4619,31.676608,0.992021,0.872794,0.965347,62.992249,0.984133,0.868039,0.931261,125.261719,0.968448,0.858777,0.863929,247.687405,0.93761,0.841212,0.733141,0.132401,0.95805,84.3449,1235.4957
9205,0.338699,0.014587,14564.4359,37.878171,0.990459,0.73634,0.978714,74.772776,0.981166,0.729858,0.958025,146.302734,0.963148,0.71731,0.918079,288.072581,0.927438,0.693165,0.839498,0.338699,0.978742,74.5575,2096.5534
9206,0.490417,0.016037,16250.2791,37.513373,0.990551,0.700573,0.981091,75.077971,0.981089,0.693966,0.962157,150.363281,0.962125,0.680929,0.924214,298.762774,0.924745,0.656083,0.849436,0.490417,0.983993,75.0699,3059.4544
9207,0.419891,0.117691,15838.9589,443.290119,0.88834,0.643107,0.770755,856.62134,0.784226,0.586068,0.557074,1509.908203,0.61967,0.526274,0.219374,1906.980469,0.519652,0.513076,0.013684,0.419891,0.828765,8.6837,3189.4296
