index,mean_intensity,edge_density,texture_variance,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,E_x
222,0.249756,0.023712,12184.246,61.529228,0.984501,0.780524,0.958717,1906.56
223,0.320801,0.021667,14168.1438,41.34375,0.989586,0.744041,0.976114,1511.4721
224,0.452194,0.099121,16107.6423,62.441222,0.984272,0.699328,0.968247,1851.4646
225,0.395874,0.040085,15551.2347,126.280836,0.968191,0.700556,0.933496,2507.9731
226,0.038406,0.019638,2401.4593,78.309926,0.980275,0.952112,0.733879,1108.0585
227,0.409866,0.062607,15727.9818,163.003814,0.958941,0.690425,0.915134,2071.8025
228,0.380539,0.018021,15328.2818,45.356526,0.988575,0.71979,0.975717,2290.2416
229,0.207657,0.033051,10698.9202,113.512914,0.971407,0.802013,0.913068,1518.8764
230,0.071793,0.049301,4333.1636,52.044485,0.986891,0.924026,0.901581,1091.4127
231,0.143158,0.016785,7976.2108,38.242969,0.990367,0.862853,0.960823,1250.2026
232,0.082886,0.050278,4942.9206,39.276562,0.990107,0.9155,0.934923,1106.3182
233,0.228867,0.092545,11476.0455,57.030055,0.985635,0.795856,0.959232,1348.3942
234,0.092789,0.012436,5473.7365,24.988649,0.993706,0.908902,0.962444,1142.1806
235,0.319763,0.092987,14143.8927,78.917923,0.980121,0.738539,0.954298,1529.4039
236,0.223923,0.024826,11300.1317,62.076425,0.984364,0.798766,0.954872,1449.1465
237,0.232422,0.026535,11600.5866,67.365993,0.983031,0.792038,0.952322,1448.946
238,0.262619,0.024933,12592.1088,59.705239,0.984961,0.773161,0.96117,1589.2058
239,0.192352,0.021057,10101.8216,40.249357,0.989862,0.823984,0.967394,1294.6053
240,0.038406,0.010315,2401.4593,24.076654,0.993935,0.959181,0.917961,1053.8172
241,0.229553,0.019974,11500.2266,48.396507,0.987809,0.797206,0.9654,1471.9063
242,0.310516,0.01442,13921.5891,32.041406,0.991929,0.750427,0.981176,1851.6044
243,0.18399,0.025955,9762.7223,75.877941,0.980887,0.824904,0.93644,1350.4047
244,0.171341,0.038208,9232.4591,94.908226,0.976094,0.832859,0.915506,1308.244
245,0.143646,0.02655,7998.8552,20.124678,0.994931,0.86514,0.979429,1184.6231
246,0.314972,0.028152,14030.0938,87.733869,0.977901,0.739518,0.948772,1763.3701
247,0.039139,0.017441,2445.3918,33.926195,0.991454,0.957404,0.885883,1052.9348
248,0.327637,0.032455,14324.4157,86.153079,0.978299,0.733104,0.950815,1816.623
249,0.082123,0.017548,4901.4966,31.190211,0.992144,0.917478,0.947763,1100.0822
250,0.419891,0.124466,15838.9589,465.238787,0.882811,0.639846,0.759364,2986.4426
251,0.046631,0.010544,2890.7789,21.036673,0.994701,0.951569,0.94061,1066.7266
252,0.106171,0.029877,6170.7715,96.671415,0.97565,0.886445,0.872112,1216.5431
253,0.036743,0.014542,2301.4366,11.065533,0.997213,0.962479,0.960652,1043.8897
254,0.295547,0.043915,13538.151,96.975414,0.975573,0.747664,0.94143,1583.803
255,0.319489,0.035461,14137.4499,87.308272,0.978008,0.737024,0.949464,1851.1204
256,0.419876,0.126083,15838.7999,53.625276,0.986492,0.706662,0.972274,1821.2173
257,0.448669,0.027634,16084.9204,70.770772,0.982174,0.698371,0.963961,2161.4909
258,0.364273,0.033417,15058.3725,46.876517,0.988192,0.724931,0.97448,1621.8546
259,0.266342,0.067429,12706.1461,259.67523,0.934591,0.740314,0.83258,1887.7011
260,0.048065,0.015732,2975.2139,52.591682,0.986753,0.946106,0.855672,1106.5409
261,0.055542,0.021881,3411.0216,17.023897,0.995712,0.944087,0.958927,1066.8422
262,0.254028,0.014175,12322.1031,42.194945,0.989372,0.781259,0.971958,1515.0812
263,0.368256,0.037582,15127.6382,88.706664,0.977656,0.716072,0.951976,1879.8384
264,0.189316,0.035782,9979.733,126.402436,0.968161,0.813907,0.896168,1489.1327
265,0.242264,0.013885,11936.7724,31.068612,0.992174,0.790381,0.978702,1373.8507
266,0.155487,0.06955,8538.487,156.984651,0.960457,0.836285,0.849403,1243.1575
267,0.154617,0.011917,8499.4696,30.825414,0.992235,0.85486,0.970301,1303.6628
268,0.187607,0.092743,9910.4925,350.996278,0.911588,0.783472,0.71058,1562.1843
269,0.13652,0.042526,7665.3141,110.83773,0.972081,0.858805,0.881322,1291.4212
270,0.299835,0.025131,13650.9619,53.990074,0.9864,0.752782,0.967604,1544.3627
271,0.391647,0.015259,15492.837,40.614154,0.98977,0.716337,0.978535,3539.609
272,0.173859,0.035416,9339.6588,64.751608,0.98369,0.834702,0.9432,1264.4871
273,0.297272,0.042404,13583.8036,67.122794,0.983092,0.751912,0.959541,1532.0768
274,0.362335,0.049927,15023.9225,173.461351,0.956307,0.70486,0.905275,2393.7363
275,0.129211,0.021545,7316.3421,73.810754,0.981408,0.869581,0.917559,1464.0014
276,0.349503,0.09407,14783.4677,299.073392,0.924667,0.689689,0.834265,2010.2219
277,0.368393,0.127014,15129.9899,72.959559,0.981622,0.71897,0.960471,1652.2278
278,0.111176,0.036591,6425.4803,48.700506,0.987733,0.888853,0.937973,1144.905
279,0.321152,0.08989,14176.3147,233.896186,0.941084,0.713097,0.864848,1708.8366
280,0.046616,0.034729,2889.8792,124.639246,0.968605,0.938515,0.64625,1085.8105
281,0.497696,0.102371,16255.9048,56.118061,0.985864,0.697189,0.971721,2463.2592
282,0.391525,0.076019,15491.116,136.251976,0.96568,0.700161,0.927975,1748.1797
283,0.49469,0.051361,16254.4165,194.558824,0.950993,0.673388,0.901947,3504.3318
284,0.389343,0.108368,15460.0245,85.423483,0.978483,0.709327,0.954765,1744.7932
285,0.271561,0.091644,12862.9511,371.364154,0.906457,0.72013,0.76408,2096.4045
286,0.134995,0.031967,7593.0336,80.194715,0.9798,0.864807,0.913025,1246.6743
287,0.090302,0.018677,5341.6184,42.194945,0.989372,0.908079,0.93552,1144.5671
288,0.413681,0.013809,15771.751,33.986994,0.991439,0.711636,0.982347,2041.1584
289,0.324799,0.011932,14260.2728,22.374265,0.994364,0.74505,0.987168,1617.4375
290,0.231064,0.034286,11553.2092,80.377114,0.979754,0.790772,0.942928,1371.4452
291,0.329224,0.033905,14359.824,63.535616,0.983996,0.736345,0.963787,1692.8081
292,0.199738,0.023193,10393.756,62.015625,0.984379,0.815197,0.951183,1458.506
293,0.289246,0.027908,13368.0076,83.721094,0.978912,0.753896,0.948676,1731.3018
294,0.049271,0.009323,3045.9683,18.23989,0.995406,0.949751,0.950796,1062.724
295,0.279465,0.091766,13093.7065,69.737178,0.982434,0.761326,0.956414,1414.4193
296,0.044388,0.01236,2758.2005,33.439798,0.991577,0.952671,0.899775,1082.9179
297,0.187912,0.013245,9922.8847,35.871783,0.990964,0.827601,0.970476,1690.8743
298,0.097504,0.025604,5721.9853,57.455653,0.985528,0.899904,0.917706,1138.5557
299,0.309677,0.025162,13900.8626,51.801287,0.986952,0.747789,0.969501,1649.8507
300,0.301956,0.066025,13705.8813,119.592877,0.969876,0.741037,0.928537,1513.4167
301,0.244171,0.049042,12000.4675,157.410248,0.96035,0.769992,0.892528,1684.1232
302,0.23735,0.086853,11770.5148,89.557858,0.977441,0.784605,0.937726,1392.9578
303,0.044937,0.008499,2790.7292,23.10386,0.99418,0.95292,0.932436,1064.3872
304,0.186569,0.022476,9868.2683,49.247702,0.987595,0.827611,0.959023,1325.1799
305,0.041733,0.013046,2600.4253,15.078309,0.996202,0.957205,0.952496,1050.4827
306,0.233505,0.012741,11638.2101,36.601379,0.990781,0.797057,0.974064,1661.5896
307,0.109177,0.01622,6324.1428,36.722978,0.99075,0.891992,0.952596,1159.112
308,0.152084,0.033295,8385.2794,35.506985,0.991056,0.856286,0.965313,1205.2124
309,0.282608,0.02475,13183.2161,65.420404,0.983521,0.760725,0.95931,1662.6337
310,0.131805,0.025284,7440.9896,56.422059,0.985788,0.86969,0.938092,1247.2683
311,0.132996,0.011887,7497.888,30.399816,0.992343,0.873601,0.966585,1207.8402
312,0.083664,0.011353,4985.0952,22.860662,0.994242,0.916858,0.962512,1119.7957
313,0.422256,0.011368,15863.2352,21.705469,0.994533,0.711738,0.988793,1873.3316
